0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,
3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,
3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,
3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,
3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,
6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,
6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,
6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,
6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,
6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,
9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,
9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,
9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,
9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,
9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,
12,17,22,27,32,37,42,47,52,57,62,67,72,77,82,87,92,97,102,107,
12,17,22,27,32,37,42,47,52,57,62,67,72,77,82,87,92,97,102,107,
12,17,22,27,32,37,42,47,52,57,62,67,72,77,82,87,92,97,102,107,
12,17,22,27,32,37,42,47,52,57,62,67,72,77,82,87,92,97,102,107,
12,17,22,27,32,37,42,47,52,57,62,67,72,77,82,87,92,97,102,107,
